google_maps_profile_id,review_id,review,rating,source_url
624932,6386691,Sehr leckeres Essen... Personal ist zudem sehr freundlich.,5,"https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VNckVnWmI3cDdEc2RREAE!2m1!1s0x0:0x6c6155e9d5e89060!3m1!1s2@1:CIHM0ogKEMrEgZb7p7DsdQ%7CCgwIwKvowAYQyPXimgM%7C?hl=en,https://www.google.com/local/review/rap/report?postId=ChZDSUhNMG9nS0VNckVnWmI3cDdEc2RREAE&t=1&entityid=ChZDSUhNMG9nS0VNckVnWmI3cDdEc2RREi0KFkNJSE0wb2dLRVBPSnl1WGhfZTZTUXcSE0Nnd0l3S3Zvd0FZUXlQWGltZ00aLQoWQ0lITTBvZ0tFSW56NU1lanNzM1BSURITQ2d3SXdLdm93QVlReVBYaW1nTSISCQAAAAAAAAAAEWCQ6NXpVWFsKhNDZ3dJd0t2b3dBWVF5UFhpbWdN&wv=1&d=286732320,0ahUKEwj_tPaWybeNAxWxjooHHY17EC4QoykIDSgE,1,0,0ahUKEwj_tPaWybeNAxWxjooHHY17EC4Q0pMFCAgoAQ"
579787,2562311,Ich war mit meiner Freundin in der meeega schõnen Besbeiz auf dem Bachtel. Einfach hammer. So nette freundliche Gastgeber. Das Plättli war reichhaltig und der Weisswein dazu mmmmmmh. Alles so liebevoll gemacht. Danke,5,"https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURia2VpR0xBEAE!2m1!1s0x0:0xbd93dafc99e69120!3m1!1s2@1:CIHM0ogKEICAgIDbkeiGLA%7CCgwI64nItQYQiPagqQM%7C?hl=en,https://www.google.com/local/review/rap/report?postId=ChZDSUhNMG9nS0VJQ0FnSURia2VpR0xBEAE&t=1&entityid=ChZDSUhNMG9nS0VJQ0FnSURia2VpR0xBEi4KF0NJSE0wb2dLRUlDQWdJRGJrZWlHckFFEhNDZ3dJNjRuSXRRWVFpUGFncVFNGi0KFkNJSE0wb2dLRUlDQWdJRGJrZWlHYkESE0Nnd0k2NG5JdFFZUWlQYWdxUU0iEgkAAAAAAAAAABEgkeaZ_NqTvSoTQ2d3STY0bkl0UVlRaVBhZ3FRTQ&wv=1&d=286732320,0ahUKEwjMnq_FqpGNAxWayBYFHZhOCVQQoykIYSgB,1,0,0ahUKEwjMnq_FqpGNAxWayBYFHZhOCVQQ0pMFCF8oCQ"
579787,2562480,"Wir waren Mitte Januar im Restaurant,  also 2-3 Wochen nachdem der neue Pächter das Restaurant Bachtel übernahm...

Aus der Lokalpresse haben wir vom Garderobe-Regim gelesen. Dass (grössere) Rucksäcke und Wanderstöcke abgegeben sollen fanden wir eine gute Idee. So bleibt Platz ungehindert zwischen den Tischen alle Gäste zu bedienen .

Zum Lokal / Bedienung:
Elegant,  es bleibt ansichtssache ob es für ein Bergrestaurant und normale Wanderer zu elegant ist. Schicki Micki wie hier schon geschrieben fanden wir es nicht. Zudem ist die Bedienung sehr freundlich

Preis / Leistungsverhältnis:
Der teller Käsespätzle qualitativ gut,  jedoch die Portion im vergleich zur Vorgängerpächterin kleiner und daher der Preis eher am oberen Rand!!
Das gleiche gilt für die Getränke,  ein Capuccino für Fr. 6.00.. auch relativ oberes Preissegment. Was auffiel Getränkepreise standen nirgends auf der Karte. Ob gewollt oder dies ungewollt vergessen ging kann ich nicht beurteilen....
Jetzt wo wir die Preise kennen,  trinken wir beim nächsten mal vielleicht nur 1  Getränk. . . .

Die kleine Portion Vermicelle war super und von der Menge her gsehen preislich gut!

Schnelligkeit der Bedienung:
Das Restaurant war gut besucht,  nicht probenvoll (war auch bewölktes Wetter). Wirklich lange mussten wir nie warten,  ausser auf die Dessertkarte.. und da finde ich, die sollte auf Verlangen direkt gebracht werden (muss ja schliesslich nicht zuerst gekocht werden)

Fazit:
Es besteht noch Luft nach oben,  v.a. im Bezug auf Die Portionenmenge der Speisen und allgemein der Preise

Da es unser Hausberg ist,  kommen wir sicher wieder und berichten auch über allfällige Veränderungen",4,"https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURCNVlUUk1BEAE!2m1!1s0x0:0xbd93dafc99e69120!3m1!1s2@1:CIHM0ogKEICAgIDB5YTRMA%7CCgwI7J_AngYQwKaYywE%7C?hl=en,https://www.google.com/local/review/rap/report?postId=ChZDSUhNMG9nS0VJQ0FnSURCNVlUUk1BEAE&t=1&entityid=ChZDSUhNMG9nS0VJQ0FnSURCNVlUUk1BEi4KF0NJSE0wb2dLRUlDQWdJREI1WVRSc0FFEhNDZ3dJN0pfQW5nWVF3S2FZeXdFGi0KFkNJSE0wb2dLRUlDQWdJREI1WVRSY0ESE0Nnd0k3Sl9BbmdZUXdLYVl5d0UiEgkAAAAAAAAAABEgkeaZ_NqTvSoTQ2d3STdKX0FuZ1lRd0thWXl3RQ&wv=1&d=286732320,0ahUKEwibmbTOqpGNAxV1yCkDHSSeA6EQoykIQCgI,1,9,0ahUKEwibmbTOqpGNAxV1yCkDHSSeA6EQ0pMFCDAoCA"
579787,2562661,Preis - Leistung stimmte für nicht nicht!,2,"https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURHNzRISkp3EAE!2m1!1s0x0:0xbd93dafc99e69120!3m1!1s2@1:CIHM0ogKEICAgIDG74HJJw%7CCgwIwprejQYQqOXB0wE%7C?hl=en,https://www.google.com/local/review/rap/report?postId=ChZDSUhNMG9nS0VJQ0FnSURHNzRISkp3EAE&t=1&entityid=ChZDSUhNMG9nS0VJQ0FnSURHNzRISkp3Ei4KF0NJSE0wb2dLRUlDQWdJREc3NEhKcHdFEhNDZ3dJd3ByZWpRWVFxT1hCMHdFGi0KFkNJSE0wb2dLRUlDQWdJREc3NEhKWncSE0Nnd0l3cHJlalFZUXFPWEIwd0UiEgkAAAAAAAAAABEgkeaZ_NqTvSoTQ2d3SXdwcmVqUVlRcU9YQjB3RQ&wv=1&d=286732320,0ahUKEwiSk7fYqpGNAxV2L1cBHYLzF4oQoykIJSgB,1,0,0ahUKEwiSk7fYqpGNAxV2L1cBHYLzF4oQ0pMFCCMoCQ"
579787,2562835,"Die Gerstensuppe war für meinen Geschmack ein bisschen dünn. Wir waren zu zweit und haben 3 Stück Brot erhalten? Naja, wir haben dann auf Anfrage Nachschub bekommen. Dafür waren der Apfelstrudel und das Vermicelles grosszügig bemessen.
Konnten draussen auf der Terrasse essen, mit wunderbaren Blick über das Nebelmeer zu den Bergen.",4,"https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURpNU0tMVdBEAE!2m1!1s0x0:0xbd93dafc99e69120!3m1!1s2@1:CIHM0ogKEICAgIDi5M-1WA%7CCgwIkrP6_QUQsObnkAI%7C?hl=en,https://www.google.com/local/review/rap/report?postId=ChZDSUhNMG9nS0VJQ0FnSURpNU0tMVdBEAE&t=1&entityid=ChZDSUhNMG9nS0VJQ0FnSURpNU0tMVdBEi4KF0NJSE0wb2dLRUlDQWdJRGk1TS0xMkFFEhNDZ3dJa3JQNl9RVVFzT2Jua0FJGi0KFkNJSE0wb2dLRUlDQWdJRGk1TS0xT0ESE0Nnd0lrclA2X1FVUXNPYm5rQUkiEgkAAAAAAAAAABEgkeaZ_NqTvSoTQ2d3SWtyUDZfUVVRc09ibmtBSQ&wv=1&d=286732320,0ahUKEwjLzNzjqpGNAxW2gIoHHSZnJ9gQoykIDSgB,1,0,0ahUKEwjLzNzjqpGNAxW2gIoHHSZnJ9gQ0pMFCAsoAw"
579787,2563040,"Tolle Aussicht, Käse Spätzle waren super, etwas lange Wartezeiten aber super",5,"https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUMwNGJiemx3RRAB!2m1!1s0x0:0xbd93dafc99e69120!3m1!1s2@1:CIHM0ogKEICAgIC04bbzlwE%7CCgwIt_LD7AUQoMDpgAE%7C?hl=en,https://www.google.com/local/review/rap/report?postId=ChdDSUhNMG9nS0VJQ0FnSUMwNGJiemx3RRAB&t=1&entityid=ChdDSUhNMG9nS0VJQ0FnSUMwNGJiemx3RRIuChdDSUhNMG9nS0VJQ0FnSUMwNGZid3lnRRITQ2d3SXRfTEQ3QVVRb01EcGdBRRotChZDSUhNMG9nS0VJQ0FnSUMwNGZid0tnEhNDZ3dJdF9MRDdBVVFvTURwZ0FFIhIJAAAAAAAAAAARIJHmmfzak70qE0Nnd0l0X0xEN0FVUW9NRHBnQUU&wv=1&d=286732320,0ahUKEwjEv_3wqpGNAxUINOMCHasHMqcQoykILCgB,1,0,0ahUKEwjEv_3wqpGNAxUINOMCHasHMqcQ0pMFCCooCA"
579787,2563268,Sehr unfreundliches Personal!! Schade .,1,"https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNRN3BEcTlRRRAB!2m1!1s0x0:0xbd93dafc99e69120!3m1!1s2@1:CIHM0ogKEICAgICQ7pDq9QE%7CCgsIm6j22wUQiMaBGA%7C?hl=en,https://www.google.com/local/review/rap/report?postId=ChdDSUhNMG9nS0VJQ0FnSUNRN3BEcTlRRRAB&t=1&entityid=ChdDSUhNMG9nS0VJQ0FnSUNRN3BEcTlRRRIsChZDSUhNMG9nS0VJQ0FnSUNRN3BEcURREhJDZ3NJbTZqMjJ3VVFpTWFCR0EaLQoXQ0lITTBvZ0tFSUNBZ0lDUTdwRHFqUUUSEkNnc0ltNmoyMndVUWlNYUJHQSISCQAAAAAAAAAAESCR5pn82pO9KhJDZ3NJbTZqMjJ3VVFpTWFCR0E&wv=1&d=286732320,0ahUKEwirnYeAq5GNAxXLwikDHY4eN7IQoykIFigB,1,0,0ahUKEwirnYeAq5GNAxXLwikDHY4eN7IQ0pMFCBQoBg"
372240,3010499,"Einfach super! Das Ambiente, die Bedienung, die Qualität, der Geschmack und Präsentation des Essens. Wir kommen definitiv wieder, sehr zu empfehlen!",5,"https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUNRN2REeG13RRAB!2m1!1s0x0:0x5df1b2a6bf7f1dc7!3m1!1s2@1:CIHM0ogKEICAgMCQ7dDxmwE%7CCgwI9uumvgYQuOn7ugE%7C?hl=en,https://www.google.com/local/review/rap/report?postId=ChdDSUhNMG9nS0VJQ0FnTUNRN2REeG13RRAB&t=1&entityid=ChdDSUhNMG9nS0VJQ0FnTUNRN2REeG13RRItChZDSUhNMG9nS0VJQ0FnTUNRN2REeFd3EhNDZ3dJOXV1bXZnWVF1T243dWdFGi4KF0NJSE0wb2dLRUlDQWdNQ1E3ZER4MndFEhNDZ3dJOXV1bXZnWVF1T243dWdFIhIJAAAAAAAAAAARxx1_v6ay8V0qE0Nnd0k5dXVtdmdZUXVPbjd1Z0U&wv=1&d=286732320,0ahUKEwi5zuzZv5GNAxVe9SkDHRrSGFMQoykIRCgK,1,0,0ahUKEwi5zuzZv5GNAxVe9SkDHRrSGFMQ0pMFCDMoBQ"
274363,2001095,Best meal of our entire week vacation. Incredible chicken special and the spaetzle blew our minds. Do not leave zermatt without eating here.,5,"https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNEaFoyTlJREAE!2m1!1s0x0:0xe0fdd56ec1cd0a99!3m1!1s2@1:CIHM0ogKEICAgICDhZ2NRQ%7CCgwIx5ugsAYQkJ_fqAE%7C?hl=en,https://www.google.com/local/review/rap/report?postId=ChZDSUhNMG9nS0VJQ0FnSUNEaFoyTlJREAE&t=1&entityid=ChZDSUhNMG9nS0VJQ0FnSUNEaFoyTlJREi4KF0NJSE0wb2dLRUlDQWdJQ0RoWjNfelFFEhNDZ3dJeDV1Z3NBWVFrSl9mcUFFGi0KFkNJSE0wb2dLRUlDQWdJQ0RoWjNfTFESE0Nnd0l4NXVnc0FZUWtKX2ZxQUUiEgkAAAAAAAAAABGZCs3BbtX94CoTQ2d3SXg1dWdzQVlRa0pfZnFBRQ&wv=1&d=286732320,0ahUKEwiBlKyNkZGNAxVTMVcBHSpWKEgQoykIHSgG,1,0,0ahUKEwiBlKyNkZGNAxVTMVcBHSpWKEgQ0pMFCBQoAg"
274363,2001263,Beschte,5,"https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURtdV8zYVNnEAE!2m1!1s0x0:0xe0fdd56ec1cd0a99!3m1!1s2@1:CIHM0ogKEICAgIDmu_3aSg%7CCgwIp92UkAYQ8Ozs1wM%7C?hl=en,https://www.google.com/local/review/rap/report?postId=ChZDSUhNMG9nS0VJQ0FnSURtdV8zYVNnEAE&t=1&entityid=ChZDSUhNMG9nS0VJQ0FnSURtdV8zYVNnEi4KF0NJSE0wb2dLRUlDQWdJRG11XzNheWdFEhNDZ3dJcDkyVWtBWVE4T3pzMXdNGi0KFkNJSE0wb2dLRUlDQWdJRG11XzNhS2cSE0Nnd0lwOTJVa0FZUThPenMxd00iEgkAAAAAAAAAABGZCs3BbtX94CoTQ2d3SXA5MlVrQVlROE96czF3TQ&wv=1&d=286732320,0ahUKEwjZqJuTkZGNAxVjc14EHUp4L3AQoykIBCgB,1,0,0ahUKEwjZqJuTkZGNAxVjc14EHUp4L3AQ0pMFCAIoAA"
274363,2001483,Great location. Soooooo friendly people. Excellent food. 5star location.,5,"https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNVazRtdjdBRRAB!2m1!1s0x0:0xe0fdd56ec1cd0a99!3m1!1s2@1:CIHM0ogKEICAgICUk4mv7AE%7CCgwIpK-X6gUQ-IilkgI%7C?hl=en,https://www.google.com/local/review/rap/report?postId=ChdDSUhNMG9nS0VJQ0FnSUNVazRtdjdBRRAB&t=1&entityid=ChdDSUhNMG9nS0VJQ0FnSUNVazRtdjdBRRItChZDSUhNMG9nS0VJQ0FnSUNVazhteWJnEhNDZ3dJcEstWDZnVVEtSWlsa2dJGi0KFkNJSE0wb2dLRUlDQWdJQ1VrNG12SEESE0Nnd0lvNi1YNmdVUXVLZmh4QU0iEgkAAAAAAAAAABGZCs3BbtX94CoTQ2d3SXBLLVg2Z1VRLUlpbGtnSQ&wv=1&d=286732320,0ahUKEwjP_MegkZGNAxVtE1cBHZaSM70QoykIBCgB,1,0,0ahUKEwjP_MegkZGNAxVtE1cBHZaSM70Q0pMFCAIoAA"
17026,3022253,Oggi a pranzo.. carne e verdure sono arrivate fredde.. carne quasi cruda anche se chiesto cottura media.. nessuna scusa o ev.piccolo sconto per il disagio (piatto 44 fr) .. 2 camerieri molto indaffarati.. servizio un po’ sbrigativo anche se tutto sommato gentile.. non ci ritornerei più..peccato.. posizione ottima fronte lago,2,"https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURmaU43OXlBRRAB!2m1!1s0x0:0x8ec8bd8b6247548!3m1!1s2@1:CIHM0ogKEICAgIDfiN79yAE%7CCgsIt4rguwYQ4P3IHA%7C?hl=en,https://www.google.com/local/review/rap/report?postId=ChdDSUhNMG9nS0VJQ0FnSURmaU43OXlBRRAB&t=1&entityid=ChdDSUhNMG9nS0VJQ0FnSURmaU43OXlBRRIsChZDSUhNMG9nS0VJQ0FnSURmaU43OUtBEhJDZ3NJdDRyZ3V3WVE0UDNJSEEaLQoXQ0lITTBvZ0tFSUNBZ0lEZmlONzlxQUUSEkNnc0l0NHJndXdZUTRQM0lIQSISCQAAAAAAAAAAEUh1JLbYi-wIKhJDZ3NJdDRyZ3V3WVE0UDNJSEE&wv=1&d=286732320,0ahUKEwieqZ6NwJGNAxUtkooHHZh2K8EQoykIJygG,1,0,0ahUKEwieqZ6NwJGNAxUtkooHHZh2K8EQ0pMFCB4oAw"
17026,3022385,Bijna 6 euro voor een colaatje is toch wel aan de prijzige kant. Locatie is wel super.,3,"https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURwMXBta0R3EAE!2m1!1s0x0:0x8ec8bd8b6247548!3m1!1s2@1:CIHM0ogKEICAgIDp1pmkDw%7CCgsIj_WNpwYQgKudNw%7C?hl=en,https://www.google.com/local/review/rap/report?postId=ChZDSUhNMG9nS0VJQ0FnSURwMXBta0R3EAE&t=1&entityid=ChZDSUhNMG9nS0VJQ0FnSURwMXBta0R3Ei0KF0NJSE0wb2dLRUlDQWdJRHAxcG1randFEhJDZ3NJal9XTnB3WVFnS3VkTncaLAoWQ0lITTBvZ0tFSUNBZ0lEcDFwbWtUdxISQ2dzSWpfV05wd1lRZ0t1ZE53IhIJAAAAAAAAAAARSHUkttiL7AgqEkNnc0lqX1dOcHdZUWdLdWROdw&wv=1&d=286732320,0ahUKEwiCu8CSwJGNAxV_3SkDHY0DN0sQoykIMygE,1,1,0ahUKEwiCu8CSwJGNAxV_3SkDHY0DN0sQ0pMFCC0oBQ"
17026,3022510,"Wir (2 Personen) kamen um 20.30 Uhr ins Restaurant und wollten Pasta bestellen. Nicht nur, dass die Zutaten vo der Hälfte der Speisekarte schon ausgegangen waren, es gab auch keinen Parmesan und sonst keinen einzigen Reibkäse mehr. Klassische Touristenfalle mit einer überteuerten Speisekarte und nochmals: Welches italienische Restaurant hat um 20.30 keinerlei Käse mehr?!
Absolut nicht zu empfehlen.",1,"https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURxai1Xcy13RRAB!2m1!1s0x0:0x8ec8bd8b6247548!3m1!1s2@1:CIHM0ogKEICAgIDqj-Ws-wE%7CCgwIv4HShwYQoPm_2AI%7C?hl=en,https://www.google.com/local/review/rap/report?postId=ChdDSUhNMG9nS0VJQ0FnSURxai1Xcy13RRAB&t=1&entityid=ChdDSUhNMG9nS0VJQ0FnSURxai1Xcy13RRItChZDSUhNMG9nS0VJQ0FnSURxai1Xc0J3EhNDZ3dJdjRIU2h3WVFvUG1fMkFJGi4KF0NJSE0wb2dLRUlDQWdJRHFqLVdzaHdFEhNDZ3dJdjRIU2h3WVFvUG1fMkFJIhIJAAAAAAAAAAARSHUkttiL7AgqE0Nnd0l2NEhTaHdZUW9QbV8yQUk&wv=1&d=286732320,0ahUKEwjspKKXwJGNAxVFc0wIHZcOGNAQoykIBCgB,1,3,0ahUKEwjspKKXwJGNAxVFc0wIHZcOGNAQ0pMFCAIoAA"
17026,3022686,مطعم رائع بكل ماتعنيه الكلمه ولو فيع أكثر من 5نجوم يستاهلوها والله .. الأكل لذيذ جدا .. مقدمين الطلبات في قمة الأخلاق والذوق .. الجلسه مطله ع بحيرة لوجانو في منتهى الجمال,5,"https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURnamR6TjFBRRAB!2m1!1s0x0:0x8ec8bd8b6247548!3m1!1s2@1:CIHM0ogKEICAgIDgjdzN1AE%7CCgwIxp_E3QUQkL_bhwI%7C?hl=en,https://www.google.com/local/review/rap/report?postId=ChdDSUhNMG9nS0VJQ0FnSURnamR6TjFBRRAB&t=1&entityid=ChdDSUhNMG9nS0VJQ0FnSURnamR6TjFBRRItChZDSUhNMG9nS0VJQ0FnSURnamR6Tk5BEhNDZ3dJeHBfRTNRVVFrTF9iaHdJGi4KF0NJSE0wb2dLRUlDQWdJRGdqZHpOdEFFEhNDZ3dJeHBfRTNRVVFrTF9iaHdJIhIJAAAAAAAAAAARSHUkttiL7AgqE0Nnd0l4cF9FM1FVUWtMX2Jod0k&wv=1&d=286732320,0ahUKEwjAocuiwJGNAxUHLeMCHfu3HEAQoykIGCgB,1,0,0ahUKEwjAocuiwJGNAxUHLeMCHfu3HEAQ0pMFCBYoBg"
71519,1549509,Super moment passé. A découvrir avec plaisir!,5,"https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNQMEkyeFZ3EAE!2m1!1s0x0:0xc0e4a78bff30ee91!3m1!1s2@1:CIHM0ogKEICAgICP0I2xVw%7CCgwIqa35uQYQoJC9jgM%7C?hl=en,https://www.google.com/local/review/rap/report?postId=ChZDSUhNMG9nS0VJQ0FnSUNQMEkyeFZ3EAE&t=1&entityid=ChZDSUhNMG9nS0VJQ0FnSUNQMEkyeFZ3Ei4KF0NJSE0wb2dLRUlDQWdJQ1AwSTJ4MXdFEhNDZ3dJcWEzNXVRWVFvSkM5amdNGi0KFkNJSE0wb2dLRUlDQWdJQ1AwSTJ4TncSE0Nnd0lxYTM1dVFZUW9KQzlqZ00iEgkAAAAAAAAAABGR7jD_i6fkwCoTQ2d3SXFhMzV1UVlRb0pDOWpnTQ&wv=1&d=286732320,0ahUKEwjowYWk65CNAxVRlIoHHbR_Hh4QoykIGCgK,1,1,0ahUKEwjowYWk65CNAxVRlIoHHbR_Hh4Q0pMFCAgoAQ"
71519,1549692,"Bien et bonne ambiance
Dommage du manque de sourire du patron",4,"https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUQ0c0tqZ2RBEAE!2m1!1s0x0:0xc0e4a78bff30ee91!3m1!1s2@1:CIHM0ogKEICAgID4sKjgdA%7CCgwImcuv6AUQ2P371wE%7C?hl=en,https://www.google.com/local/review/rap/report?postId=ChZDSUhNMG9nS0VJQ0FnSUQ0c0tqZ2RBEAE&t=1&entityid=ChZDSUhNMG9nS0VJQ0FnSUQ0c0tqZ2RBEi4KF0NJSE0wb2dLRUlDQWdJREVsNzN1X3dFEhNDZ3dJbWN1djZBVVEyUDM3MXdFGisKFENJSE0wb2dLRUlDQWdJREVsNzBlEhNDZ3dJbWN1djZBVVEyUDM3MXdFIhIJAAAAAAAAAAARke4w_4un5MAqE0Nnd0ltY3V2NkFVUTJQMzcxd0U&wv=1&d=286732320,0ahUKEwjupOSq65CNAxVCMlcBHYoRKUgQoykIECgB,1,0,0ahUKEwjupOSq65CNAxVCMlcBHYoRKUgQ0pMFCA4oBA"
52807,9536,"Sehr lecker, immer wieder gerne😋
Una delicatesa",5,"https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNHNWEtVm5RRRAB!2m1!1s0x0:0xadb187532306c47a!3m1!1s2@1:CIHM0ogKEICAgICG5a-VnQE%7CCgwIw8mQjAYQkLj54gE%7C?hl=en,https://www.google.com/local/review/rap/report?postId=ChdDSUhNMG9nS0VJQ0FnSUNHNWEtVm5RRRAB&t=1&entityid=ChdDSUhNMG9nS0VJQ0FnSUNHNWEtVm5RRRItChZDSUhNMG9nS0VJQ0FnSUNHNWEtVlhREhNDZ3dJdzhtUWpBWVFrTGo1NGdFGi4KF0NJSE0wb2dLRUlDQWdJQ0c1YS1WM1FFEhNDZ3dJdzhtUWpBWVFrTGo1NGdFIhIJAAAAAAAAAAAResQGI1OHsa0qE0Nnd0l3OG1RakFZUWtMajU0Z0U&wv=1&d=286732320,0ahUKEwjexZm48o6NAxUtkooHHefCApcQoykIBCgB,1,1,0ahUKEwjexZm48o6NAxUtkooHHefCApcQ0pMFCAIoAA"
